date_ny,instrument,asia_high,asia_low,first_sweep_side,first_sweep_time_ny,reentry_time_ny,double_sweep,day_class
2026-01-07,EUR_USD,,,,,,,ERROR
2026-01-08,EUR_USD,,,,,,,ERROR
2026-01-09,EUR_USD,,,,,,,ERROR
2026-01-12,EUR_USD,,,,,,,ERROR
2026-01-13,EUR_USD,,,,,,,ERROR
2026-01-14,EUR_USD,,,,,,,ERROR
2026-01-15,EUR_USD,,,,,,,ERROR
2026-01-16,EUR_USD,,,,,,,ERROR
2026-01-19,EUR_USD,,,,,,,ERROR
2026-01-20,EUR_USD,,,,,,,ERROR
2026-01-21,EUR_USD,,,,,,,ERROR
2026-01-22,EUR_USD,,,,,,,ERROR
2026-01-23,EUR_USD,,,,,,,ERROR
2026-01-26,EUR_USD,,,,,,,ERROR
2026-01-27,EUR_USD,,,,,,,ERROR
2026-01-28,EUR_USD,,,,,,,ERROR
2026-01-29,EUR_USD,,,,,,,ERROR
2026-01-30,EUR_USD,,,,,,,ERROR
2026-02-02,EUR_USD,,,,,,,ERROR
2026-02-03,EUR_USD,,,,,,,ERROR
2026-02-04,EUR_USD,,,,,,,ERROR
2026-02-05,EUR_USD,,,,,,,ERROR
2026-02-06,EUR_USD,,,,,,,ERROR
2026-02-09,EUR_USD,,,,,,,ERROR
2026-02-10,EUR_USD,,,,,,,ERROR
2026-02-11,EUR_USD,,,,,,,ERROR
2026-02-12,EUR_USD,,,,,,,ERROR
2026-02-13,EUR_USD,,,,,,,ERROR
2026-02-16,EUR_USD,,,,,,,ERROR
2026-02-17,EUR_USD,,,,,,,ERROR
2026-02-18,EUR_USD,,,,,,,ERROR
2026-02-19,EUR_USD,,,,,,,ERROR
2026-02-20,EUR_USD,,,,,,,ERROR
2026-02-23,EUR_USD,,,,,,,ERROR
2026-02-24,EUR_USD,,,,,,,ERROR
2026-02-25,EUR_USD,,,,,,,ERROR
2026-02-26,EUR_USD,,,,,,,ERROR
2026-02-27,EUR_USD,,,,,,,ERROR
